family,params,build_sec,index_bytes,search_sec,recall_at_k
HNSW,"{""M"": 8, ""efConstruction"": 40, ""efSearch"": 32}",16.879065,592566706,0.159604,0.606037
HNSW,"{""M"": 8, ""efConstruction"": 40, ""efSearch"": 64}",16.879065,592566706,0.233336,0.746297
HNSW,"{""M"": 8, ""efConstruction"": 40, ""efSearch"": 96}",16.879065,592566706,0.350020,0.817003
HNSW,"{""M"": 8, ""efConstruction"": 40, ""efSearch"": 128}",16.879065,592566706,0.385912,0.857981
HNSW,"{""M"": 8, ""efConstruction"": 40, ""efSearch"": 192}",16.879065,592566706,0.562001,0.904160
HNSW,"{""M"": 8, ""efConstruction"": 40, ""efSearch"": 256}",16.879065,592566706,0.733179,0.928525
HNSW,"{""M"": 8, ""efConstruction"": 120, ""efSearch"": 32}",47.992631,592566706,0.173995,0.668798
HNSW,"{""M"": 8, ""efConstruction"": 120, ""efSearch"": 64}",47.992631,592566706,0.281298,0.812269
HNSW,"{""M"": 8, ""efConstruction"": 120, ""efSearch"": 96}",47.992631,592566706,0.387375,0.876178
HNSW,"{""M"": 8, ""efConstruction"": 120, ""efSearch"": 128}",47.992631,592566706,0.458125,0.910094
HNSW,"{""M"": 8, ""efConstruction"": 120, ""efSearch"": 192}",47.992631,592566706,0.657169,0.945713
HNSW,"{""M"": 8, ""efConstruction"": 120, ""efSearch"": 256}",47.992631,592566706,0.850284,0.963306
HNSW,"{""M"": 8, ""efConstruction"": 200, ""efSearch"": 32}",77.831355,592566706,0.209706,0.677048
HNSW,"{""M"": 8, ""efConstruction"": 200, ""efSearch"": 64}",77.831355,592566706,0.303185,0.822500
HNSW,"{""M"": 8, ""efConstruction"": 200, ""efSearch"": 96}",77.831355,592566706,0.394618,0.886544
HNSW,"{""M"": 8, ""efConstruction"": 200, ""efSearch"": 128}",77.831355,592566706,0.460794,0.919935
HNSW,"{""M"": 8, ""efConstruction"": 200, ""efSearch"": 192}",77.831355,592566706,0.668099,0.953335
HNSW,"{""M"": 8, ""efConstruction"": 200, ""efSearch"": 256}",77.831355,592566706,0.897290,0.968953
HNSW,"{""M"": 16, ""efConstruction"": 40, ""efSearch"": 32}",20.490411,656258362,0.209036,0.680985
HNSW,"{""M"": 16, ""efConstruction"": 40, ""efSearch"": 64}",20.490411,656258362,0.336609,0.813143
HNSW,"{""M"": 16, ""efConstruction"": 40, ""efSearch"": 96}",20.490411,656258362,0.450927,0.874736
HNSW,"{""M"": 16, ""efConstruction"": 40, ""efSearch"": 128}",20.490411,656258362,0.529010,0.908717
HNSW,"{""M"": 16, ""efConstruction"": 40, ""efSearch"": 192}",20.490411,656258362,0.761597,0.944260
HNSW,"{""M"": 16, ""efConstruction"": 40, ""efSearch"": 256}",20.490411,656258362,0.963811,0.961792
HNSW,"{""M"": 16, ""efConstruction"": 120, ""efSearch"": 32}",62.610554,656258362,0.242240,0.764363
HNSW,"{""M"": 16, ""efConstruction"": 120, ""efSearch"": 64}",62.610554,656258362,0.390801,0.889864
HNSW,"{""M"": 16, ""efConstruction"": 120, ""efSearch"": 96}",62.610554,656258362,0.514174,0.937683
HNSW,"{""M"": 16, ""efConstruction"": 120, ""efSearch"": 128}",62.610554,656258362,0.687499,0.959712
HNSW,"{""M"": 16, ""efConstruction"": 120, ""efSearch"": 192}",62.610554,656258362,1.000484,0.979908
HNSW,"{""M"": 16, ""efConstruction"": 120, ""efSearch"": 256}",62.610554,656258362,1.226444,0.988444
HNSW,"{""M"": 16, ""efConstruction"": 200, ""efSearch"": 32}",104.469828,656258362,0.245362,0.775653
HNSW,"{""M"": 16, ""efConstruction"": 200, ""efSearch"": 64}",104.469828,656258362,0.392109,0.901120
HNSW,"{""M"": 16, ""efConstruction"": 200, ""efSearch"": 96}",104.469828,656258362,0.544076,0.947337
HNSW,"{""M"": 16, ""efConstruction"": 200, ""efSearch"": 128}",104.469828,656258362,0.691780,0.968054
HNSW,"{""M"": 16, ""efConstruction"": 200, ""efSearch"": 192}",104.469828,656258362,0.974699,0.985206
